Name,WeightClass_Bin,Avg_Bodyweight,Start_Age,Career_Start_Age,Career_Start_Year_Normalized,Prior_Competition_Count,Career_WeightClass_Change_Count,IPFCategory,Continent,Initial_Speed,Maturation_Slope,Peak_Dots,Days_to_Peak,Peak_Age,Split_Day,Is_Origin_Included,Initial_Phase_Change_Count,Peak_Phase_Change_Count,Continent_Group,IPFCategory_Non-IPF,Continent_Asia_Oceania,Continent_Europe_Africa,Continent_Other
Heather Kahler,84-100,90.48571428571428,43.5,43.5,20.0,0.0,0.0,IPF,North America,6.423629198564565,2.6217142281140076,210.1261700516142,2550.0,50.486301369863014,510.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heather Unsworth,76-84,80.4375,40.5,40.5,21.0,0.0,1.0,IPF,North America,102.47261760461782,35.77916789465805,350.8673489343755,660.0,42.30821917808219,120.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heejin Jeong,52-57,55.67,30.5,30.5,26.0,0.0,1.0,IPF,Asia,26.117751652795675,11.176120440185047,355.6427323095245,960.0,33.130136986301366,240.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Hege Velten,57-63,61.960909090909084,43.5,43.5,21.0,0.0,1.0,IPF,Europe,36.2084708042768,6.808268894770235,350.0760839081765,2490.0,50.321917808219176,660.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Heidi Heikkinen,52-57,55.870000000000005,28.5,28.5,18.0,0.0,1.0,IPF,Europe,31.984256084130532,24.731837104587438,375.7759417173736,960.0,31.13013698630137,330.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Heidi Johnson,76-84,80.16666666666667,57.5,57.5,27.0,0.0,0.0,IPF,North America,37.49971102436551,15.855913705080349,276.6178882176944,780.0,59.636986301369866,480.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heidi Meeley,84-100,94.59230769230768,49.0,49.0,20.0,0.0,1.0,IPF,North America,24.703942318852857,7.057761999173286,295.63478943549745,2280.0,55.24657534246575,390.0,False,0,1,Americas,0.0,0.0,0.0,0.0
Heidi Schraft,40-52,49.068125,53.5,53.5,19.0,0.0,1.0,IPF,North America,18.676850304329715,4.2525568281424455,275.76006478380424,1500.0,57.60958904109589,510.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heidi Sighovd,69-76,73.28999999999998,46.5,46.5,22.0,0.0,0.0,IPF,Europe,41.375143858534734,5.821354039359217,285.27784316933804,1800.0,51.43150684931507,480.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Heidi Tinney,57-63,59.64583333333332,43.0,43.0,19.0,0.0,0.0,IPF,North America,13.371998497370106,17.081100273877464,271.58086458243713,1440.0,46.945205479452056,90.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Heidi Wallace,69-76,71.70000000000002,39.0,39.0,19.0,0.0,0.0,IPF,North America,21.1570407610541,7.747392031714839,342.5257426587513,1260.0,42.45205479452055,660.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Helaina Wernet,69-76,73.27142857142857,19.5,19.5,26.0,0.0,1.0,IPF,North America,78.25156511278185,22.71421501195513,270.3994496296243,510.0,20.897260273972602,120.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Helen Allen,52-57,56.58428571428572,49.5,49.5,15.0,0.0,1.0,IPF,Oceania,7.809234025451804,7.835435147183383,356.7330265750901,1950.0,54.842465753424655,720.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Helen Isaac,57-63,60.32857142857143,31.0,31.0,9.0,0.0,1.0,Non-IPF,Other/Unknown,13.313971087793549,,346.67,0.0,31.0,4620.0,False,0,0,Other,1.0,0.0,0.0,1.0
Helen Kostadinos,57-63,62.06666666666667,45.5,45.5,4.0,0.0,1.0,Non-IPF,Oceania,0.41901445928920494,,356.56,0.0,45.5,2550.0,False,0,0,Asia_Oceania,1.0,1.0,0.0,0.0
Helen Koya,57-63,61.18333333333334,27.5,27.5,17.0,0.0,0.0,IPF,North America,37.235959312646656,11.196239292650256,413.5465362441867,1920.0,32.76027397260274,630.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Helen Twomey,69-76,73.22153846153846,47.0,47.0,19.0,0.0,2.0,IPF,Europe,15.52498581513698,4.462717137536987,360.3512909400443,1050.0,49.87671232876713,780.0,False,0,1,Europe_Africa,0.0,0.0,1.0,0.0
Helen White,57-63,59.874,66.0,66.0,15.0,0.0,1.0,IPF,North America,11.85710765069243,2.266522922377346,283.7945305031516,2550.0,72.98630136986301,270.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Helen-Catherine Walter,57-63,57.52727272727273,66.0,66.0,17.0,0.0,1.0,Non-IPF,Other/Unknown,5.069128755549399,2.0349563904520624,257.8216667177842,1350.0,69.6986301369863,1200.0,False,0,0,Other,1.0,0.0,0.0,1.0
Helena Birath Lilja,57-63,61.575,52.5,52.5,20.0,0.0,0.0,IPF,Europe,25.59332559097349,7.690662830008902,300.1100647418044,1320.0,56.11643835616438,930.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hewan Admasu,57-63,61.86333333333334,19.5,19.5,27.0,0.0,0.0,IPF,Europe,44.05003242571405,25.03584414868412,373.2452194414414,750.0,21.554794520547944,300.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hilde Dretvik,76-84,83.13571428571429,42.5,42.5,21.0,0.0,0.0,IPF,Europe,9.659888559300017,2.1673857684438795,382.12616475209165,1560.0,46.773972602739725,660.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hillary Beard,84-100,94.75866666666664,25.5,25.5,20.0,0.0,1.0,IPF,North America,31.379667224794154,15.367379100522166,438.78059529986695,2940.0,33.554794520547944,1020.0,False,0,0,Americas,0.0,0.0,0.0,0.0
Hinde Hajji,52-57,55.392500000000005,23.0,23.0,27.0,0.0,0.0,IPF,Europe,72.24731427804976,23.982965986942407,387.917578887908,720.0,24.972602739726028,240.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hira Teirney,76-84,82.65350000000001,33.5,33.5,20.0,0.0,1.0,IPF,Europe,26.134006120905745,10.975025546408602,443.14918454361543,2010.0,39.00684931506849,1020.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
Hiroko Kikuiri,40-52,46.48285714285714,63.0,63.0,17.0,0.0,0.0,IPF,Asia,5.65880192199242,,336.32,0.0,63.0,1020.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Hollie Johnson,57-63,62.125,23.4,22.9,19.0,1.0,3.0,IPF,Other/Unknown,83.37262063906658,12.518578312130591,414.91021649030347,1381.0,27.183561643835617,631.0,False,0,0,Other,0.0,0.0,0.0,1.0
Hollie MacLean,69-76,74.37777777777778,18.5,18.5,26.0,0.0,0.0,IPF,Other/Unknown,52.64195080103256,,304.8714472789801,810.0,20.71917808219178,780.0,False,0,0,Other,0.0,0.0,0.0,1.0
Hope Powers,100-120,114.28571428571429,52.0,50.5,22.0,2.0,1.0,IPF,Oceania,20.832628022516687,6.661825159311891,303.3602744833534,882.0,54.416438356164385,612.0,False,0,0,Asia_Oceania,0.0,1.0,0.0,0.0
Hui-Chun Wu,52-57,56.653333333333336,25.5,25.5,16.0,0.0,0.0,IPF,Europe,27.514819574162413,11.641857840360618,495.1007793976481,1620.0,29.938356164383563,1470.0,False,0,0,Europe_Africa,0.0,0.0,1.0,0.0
